"","playerID","POS","W","L","inducted","play_era","G","GS","CG","SHO","SV","IP","IPouts","H","ER","HR","BB","SO","BAOpp","ERA","SO%","BB%","SO:BB","IBB","WP","HBP","BK","BFP","GF","R","SH","SF","GIDP","InnOuts","PO","A","E","DP","Pitching Triple Crown","300_wins","3000_so","300_sv","ped_use"
"19","bentola01","RP",127,128,"0","Live Ball",455,258,122,13,22,2297,6891,2559,1029,109,691,670,0.259428223844282,4.03178058336961,0.0679237631792376,0.0700527169505272,0.969609261939218,NA,47,25,1,9864,113,1190,NA,NA,NA,NA,93,469,22,33,"0","No","No","No","No"
"20","bibbyji01","SP",111,101,"0","Free Agency",340,239,56,19,8,1722.6,5168,1565,719,131,723,1079,0.214090287277702,3.75653082549634,0.147606019151847,0.09890560875513,1.4923928077455,38,70,40,13,7310,39,800,61,52,NA,5167,88,216,20,16,"0","No","No","No","No"
"21","billija01","RP",145,113,"0","Free Agency",476,305,74,27,15,2230.7,6692,2272,949,176,750,1141,0.239485611889955,3.82884296409199,0.120269842942975,0.0790555496995889,1.52133333333333,97,84,98,4,9487,83,1069,NA,NA,NA,6695,133,344,17,21,"0","No","No","No","No"
"22","blackew01","SP",82,78,"0","Integration",236,169,69,15,10,1321.1,3963,1150,484,67,562,839,0.206241032998565,3.29725228975853,0.150466284074605,0.100789096126255,1.49288256227758,NA,28,44,2,5576,49,562,NA,NA,NA,NA,46,311,19,20,"0","No","No","No","No"
"23","blassst01","SP",103,76,"0","Expansion",282,231,57,16,2,1597.5,4792,1558,644,128,597,896,0.229793510324484,3.62816901408451,0.132153392330383,0.0880530973451327,1.50083752093802,49,56,38,4,6780,14,739,NA,NA,NA,4794,137,251,16,19,"0","No","No","No","No"
"24","bluevi01","SP",209,161,"0","Free Agency",502,473,143,37,2,3343.4,10030,2939,1213,263,1185,2175,0.212401532124015,3.26523897828558,0.157187251571873,0.0856399508563995,1.83544303797468,61,103,23,13,13837,11,1357,NA,NA,NA,10031,127,427,19,21,"0","No","No","No","No"
"25","blylebe01","SP",287,250,"1","Free Agency",692,685,242,60,0,4969.9,14910,4632,1830,430,1322,3701,0.226050461178078,3.31394997887281,0.180615880142502,0.0645161290322581,2.79954614220877,71,114,155,19,20491,3,2029,176,121,NA,14908,287,662,30,48,"0","No","Yes","No","No"
"26","boddimi01","SP",134,116,"0","Free Agency",342,309,63,16,3,2123.7,6371,2082,897,188,721,1330,0.231359039893321,3.80138437632434,0.147794199355484,0.080120013334815,1.84466019417476,39,60,87,8,8999,15,992,54,50,194,6371,245,366,32,37,"0","No","No","No","No"
"27","bolinbo01","RP",88,75,"0","Expansion",495,164,32,10,50,1576,4728,1364,596,164,597,1175,0.204467096387348,3.40355329949239,0.176135511917254,0.0894918303102983,1.96817420435511,71,56,60,3,6671,161,687,NA,NA,NA,4730,87,190,15,6,"0","No","No","No","No"
"28","bondto01","SP",234,163,"0","Dead Ball",417,408,386,42,0,3628.6,10886,3765,862,50,193,972,0.249635326879724,2.13801466130188,0.0644476859832913,0.0127967113114971,5.03626943005181,NA,143,NA,0,15082,13,1931,NA,NA,NA,10884,218,896,109,26,"1","No","No","No","No"
"29","boutoji01","RP",62,63,"0","Free Agency",304,144,34,11,6,1238.5,3716,1131,492,127,435,720,0.2175,3.57529269277352,0.138461538461538,0.0836538461538461,1.6551724137931,27,38,23,4,5200,57,566,NA,NA,NA,3715,112,177,15,13,"0","No","No","No","No"
"30","brechha01","SP",133,92,"0","Integration",318,240,125,25,18,1907.4,5723,1731,618,117,536,901,0.22132719601074,2.91601132431582,0.115202659506457,0.0685334356220432,1.68097014925373,NA,18,37,5,7821,53,701,NA,NA,NA,NA,78,376,8,22,"0","No","No","No","No"
"31","breitte01","SP",160,170,"0","Dead Ball",380,342,301,12,3,2973.4,8920,3101,1331,79,1207,893,0.238355111452729,4.02872132911818,0.0686395080707148,0.0927747886241353,0.739850869925435,NA,42,87,2,13010,34,1848,NA,NA,NA,8895,245,692,57,24,"0","No","No","No","No"
"32","breweji01","RP",69,65,"0","Expansion",584,35,1,1,132,1040.7,3122,898,355,92,360,810,0.208885787392417,3.07004900547708,0.188415910676902,0.0837404047452896,2.25,77,41,10,3,4299,351,401,NA,NA,NA,3119,30,150,10,10,"0","No","No","No","No"
"33","bridgto01","SP",194,138,"0","Integration",424,362,200,33,10,2826.4,8479,2675,1122,181,1192,1674,0.219893136046034,3.57274271157656,0.137607891491985,0.0979860254829429,1.40436241610738,NA,59,35,8,12165,47,1321,NA,NA,NA,NA,144,469,24,23,"0","No","No","No","No"
