.metric,.estimator,mean,n,std_err,.config
accuracy,binary,0.9201075268817205,10,0.01666342898370703,Preprocessor1_Model1
roc_auc,binary,0.9530697232987089,10,0.012457485768890317,Preprocessor1_Model1
