.metric,.estimator,mean,n,std_err,.config
accuracy,binary,0.8800362976406534,10,0.008699218617394946,Preprocessor1_Model1
roc_auc,binary,0.9233413392305675,10,0.009726600018223936,Preprocessor1_Model1
