.metric,.estimator,mean,n,std_err,.config
accuracy,binary,0.9102150537634409,10,0.017282714078145037,Preprocessor1_Model1
roc_auc,binary,0.9510685807482909,10,0.016477811406256232,Preprocessor1_Model1
