.metric,.estimator,mean,n,std_err,.config
accuracy,binary,0.8782819116757411,10,0.008517947548085837,Preprocessor1_Model1
roc_auc,binary,0.9251131844751834,10,0.009315459959215318,Preprocessor1_Model1
