"","playerID","fg_playerID","POS","inducted","play_era","PO","A","E","DP","Pitching Triple Crown","300_wins","3000_so","300_sv","ped_use","Name","W","L","ERA","WAR","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","ERA-","FIP-","E-F","K/9+","BB/9+","K/BB+","H/9+","HR/9+","AVG+","WHIP+","BABIP+","LOB%+","all_star_appearances","num_gold_gloves","num_cy_young","num_mvp","num_ws_mvp"
"16","hunteca01",1006199,"SP","1","Free Agency",225,319,23,16,"0","No","No","No","No","Catfish Hunter",224,166,3.26,37.2,500,476,181,42,1,0,3449.1,14032,2958,1380,1248,374,954,57,49,49,7,2012,5.25,2.49,2.11,7.72,0.98,0.227,1.13,0.243,0.751,3.66,94,103,-0.41,98,76,129,91,127,93,87,90,103,8,0,1,0,0
"17","maddugr01",104,"SP","1","Modern",546,1194,53,98,"0","Yes","Yes","No","No","Greg Maddux",355,227,3.16,116.7,744,740,109,35,0,0,5008.1,20421,4726,1981,1756,353,999,177,137,70,28,3371,6.06,1.8,3.37,8.49,0.63,0.245,1.14,0.281,0.723,3.26,76,78,-0.11,95,54,176,95,66,96,84,97,101,8,18,4,0,0
"18","martipe02",200,"SP","1","Modern",155,263,23,11,"1","No","Yes","No","No","Pedro Martinez",219,100,2.93,84.4,476,409,46,17,3,0,2827.1,11394,2221,1006,919,239,760,30,141,61,6,3154,10.04,2.42,4.15,7.07,0.76,0.212,1.05,0.279,0.759,2.91,66,68,0.01,156,72,218,77,72,81,75,95,107,8,0,3,0,0
"19","ryanno01",1011348,"SP","1","Free Agency",220,547,90,27,"0","Yes","Yes","No","No","Nolan Ryan",324,292,3.19,106.7,807,773,222,61,3,0,5386,22574,3923,2178,1911,321,2795,78,158,278,33,5714,9.55,4.67,2.04,6.56,0.54,0.2,1.25,0.265,0.731,2.97,90,83,0.22,181,144,126,75,73,79,94,95,102,8,0,0,0,0
"20","smoltjo01",115,"RP","1","Modern",320,433,28,30,"0","No","Yes","No","No","John Smoltz",213,155,3.33,79.5,723,481,53,16,154,14,3473,14271,3074,1391,1284,288,1010,84,57,145,16,3084,7.99,2.62,3.05,7.97,0.75,0.233,1.18,0.283,0.736,3.24,81,78,0.09,124,80,158,89,82,91,87,98,103,8,0,1,0,0
"21","bunniji01",1001653,"SP","1","Expansion",206,372,23,20,"0","No","No","No","No","Jim Bunning",224,184,3.27,66.9,591,519,151,40,16,0,3760.1,15618,3433,1527,1366,372,1000,98,160,47,8,2855,6.83,2.39,2.86,8.22,0.89,0.237,1.18,0.273,0.753,3.22,88,88,0.05,126,74,170,95,107,96,90,100,104,7,0,0,0,0
"22","fingero01",1004051,"RP","1","Free Agency",108,253,14,23,"0","No","No","Yes","No","Rollie Fingers",114,118,2.91,27.4,944,37,4,2,341,0,1701.1,6942,1474,616,550,123,492,109,39,40,7,1299,6.87,2.6,2.64,7.8,0.65,0.23,1.16,0.271,0.758,2.96,83,81,-0.05,134,79,169,90,83,92,87,98,105,7,0,1,1,1
"23","gomezle01",1004821,"SP","1","Integration",56,393,20,20,"2","No","No","No","No","Lefty Gomez",189,102,3.34,33.9,368,320,173,28,9,0,2503,10729,2290,1091,930,138,1095,0,19,39,0,1468,5.28,3.94,1.34,8.23,0.5,0.238,1.35,0.269,0.72,3.94,79,94,-0.6,154,105,147,84,87,87,90,93,109,7,0,0,0,0
"24","hoffmtr01",1035,"RP","1","Modern",66,83,4,5,"0","No","No","Yes","No","Trevor Hoffman",61,75,2.87,25.9,1034,0,0,0,601,35,1089.1,4388,846,378,347,100,307,58,9,49,0,1133,9.36,2.54,3.69,6.99,0.83,0.208,1.06,0.263,0.767,3.08,71,73,-0.22,140,75,188,77,81,81,76,90,107,7,0,0,0,0
"25","lemonbo01",1007517,"SP","1","Integration",263,709,31,78,"0","No","No","No","No","Bob Lemon",207,128,3.23,32.2,460,350,188,31,22,0,2850,12099,2559,1185,1024,181,1251,13,57,63,2,1277,4.03,3.95,1.02,8.08,0.57,0.237,1.34,0.255,0.742,3.82,84,99,-0.58,102,99,105,90,80,93,93,93,105,7,0,0,0,0
