"","playerID","fg_playerID","POS","inducted","play_era","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","GS","InnOuts","PO","A","E","DP","PB","WP","SB_against","CS_for","ZR","PA","BA","1B","SLG","OBP","OPS","SO%","BB%","BB:SO","Range","Triple Crown","500_hr","3000_hit","1500_runs","1500_rbi","2500_G","ped_use","ISO","BABIP","wOBA","WAR","wRC+","all_star_appearances","num_gold_gloves","num_mvp","num_ws_mvp","silver_slugger","hank_aaron_award"
"147","robinja02",1011070,"2B","1","Integration",1382,4877,947,1518,273,54,137,734,197,30,740,291,7,72,104,9,113,311,7645,4007,2728,117,830,0,0,0,0,0,5698,0.311256920237851,1054,0.473651835144556,0.408915408915409,0.882567244059965,0.0510705510705511,0.12987012987013,2.54295532646048,4.87337192474674,"0","No","No","No","No","No","No",0.164,0.31,0.408,59.9,137,6,NA,1,NA,NA,NA
"148","staubru01",1012440,"RF","0","Free Agency",2951,9720,1189,2716,499,47,292,1466,47,33,1255,888,193,79,56,119,297,2034,54216,6572,402,140,306,0,0,0,0,0,11173,0.279423868312757,1878,0.430555555555556,0.362480980936185,0.793036536491741,0.0794773113756377,0.11232435335183,1.41328828828829,2.36326668925788,"0","No","No","No","No","Yes","No",0.151,0.28,0.353,47.9,122,6,NA,NA,NA,NA,NA
"149","tejadmi01",941,"SS","0","Modern",2171,8434,1230,2407,468,23,307,1302,85,38,553,1079,73,122,23,71,277,2108,55502,3037,6193,274,1321,0,0,0,0,0,9180,0.285392459094143,1609,0.455537111690775,0.335729847494553,0.791266959185329,0.117538126361656,0.060239651416122,0.512511584800741,4.25149700598802,"0","No","No","No","No","No","Yes",0.17,0.295,0.341,39.7,106,6,NA,1,NA,2,NA
"150","trammal01",1013157,"SS","1","Steroids",2293,8288,1231,2365,412,55,185,1003,236,109,850,874,48,37,124,76,156,2129,56195,3448,6265,235,1321,0,0,0,0,0,9251,0.285352316602317,1713,0.415299227799228,0.351529564371419,0.766828792170647,0.0944762728353691,0.0918819587071668,0.97254004576659,4.23593545573484,"0","No","No","No","No","No","No",0.13,0.298,0.343,63.7,111,6,4,NA,1,3,NA
"151","waltebu01",1013583,"3B","0","Integration",715,1966,227,477,99,16,23,234,12,1,114,303,0,5,64,0,34,0,0,211,389,39,43,0,0,0,0,0,2085,0.242624618514751,339,0.344354018311292,0.285851318944844,0.630205337256136,0.145323741007194,0.0546762589928058,0.376237623762376,0.839160839160839,"0","No","No","No","No","No","No",0.102,0.277,0.294,-2.1,66,6,NA,1,NA,NA,NA
"152","willibi01",1013975,"LF","1","Expansion",2488,9350,1410,2711,434,88,426,1475,90,49,1045,1046,182,43,8,73,200,2161,57346,4367,219,113,96,0,0,0,0,0,10511,0.289946524064171,1763,0.491871657754011,0.361430881933213,0.853302539687224,0.0995147940253068,0.0994196555988964,0.999043977055449,1.84324758842444,"0","No","No","No","No","No","No",0.202,0.287,0.376,60.4,132,6,NA,NA,NA,NA,NA
"153","ashburi01",1000335,"CF","1","Expansion",2189,8365,1322,2574,317,109,29,586,234,92,1198,571,25,43,112,18,83,1204,31872,6094,182,111,44,0,0,0,0,0,9624,0.307710699342499,2119,0.382068141063957,0.396404821280133,0.77847296234409,0.0593308395677473,0.124480465502909,2.09807355516637,2.86706258565555,"0","No","No","No","No","No","No",0.074,0.327,0.362,57.4,115,5,NA,NA,NA,NA,NA
"154","bellbu01",1000799,"3B","0","Free Agency",2405,8995,1151,2514,425,56,201,1106,55,79,836,776,84,38,60,80,255,2315,61133,2196,5009,262,448,0,0,0,0,0,9949,0.279488604780434,1832,0.406225680933852,0.340536737360539,0.746762418294391,0.0779977887224847,0.0840285455824706,1.07731958762887,2.995841995842,"0","No","No","No","No","No","No",0.127,0.286,0.335,61.7,108,5,6,NA,NA,1,NA
"155","belleal01",1000802,"LF","0","Steroids",1539,5853,974,1726,389,21,381,1239,88,41,683,961,91,55,4,78,193,1306,34152,2642,91,66,18,0,0,0,0,0,6669,0.294891508628054,935,0.563813429010764,0.369470685260159,0.933284114270923,0.144099565152197,0.102414155045734,0.710718002081165,1.77582846003899,"0","No","No","No","No","No","No",0.269,0.293,0.396,41,139,5,NA,NA,NA,5,NA
"156","bowala01",1001243,"SS","0","Free Agency",2247,8418,987,2191,262,99,15,525,318,105,474,569,45,17,151,43,121,2184,57250,3323,6864,211,1267,0,0,0,0,0,8952,0.260275599904966,1815,0.320266096459967,0.299597855227882,0.619863951687849,0.0635612153708668,0.0529490616621984,0.833040421792619,4.53360035603026,"0","No","No","No","No","No","No",0.06,0.276,0.282,16.7,70,5,2,NA,NA,NA,NA
"157","cardele01",1001938,"SS","0","Expansion",1941,6707,662,1725,285,49,118,689,39,48,522,1135,122,28,97,48,174,1831,49337,3271,5429,266,1050,0,0,0,0,0,7305,0.257193976442523,1273,0.367079171015357,0.311430527036277,0.678509698051634,0.155373032169747,0.0714579055441478,0.459911894273128,4.4822256568779,"0","No","No","No","No","No","No",0.11,0.292,0.301,27,86,5,1,NA,NA,NA,NA
"158","cartejo01",1002018,"LF","0","Steroids",2189,8422,1170,2184,432,53,396,1445,231,66,527,1387,86,90,10,105,132,1940,50758,5890,281,118,221,0,0,0,0,0,9144,0.259320826407029,1303,0.464260270719544,0.306321084864392,0.770581355583936,0.15168416447944,0.0576334208223972,0.379956741167988,2.81909547738693,"0","No","No","No","No","No","No",0.205,0.265,0.334,17.1,102,5,NA,NA,NA,2,NA
"159","coopece01",1002592,"1B","0","Free Agency",1896,7349,1012,2192,415,47,241,1125,89,49,448,911,79,17,46,79,150,1436,38383,13361,1000,121,1348,0,0,0,0,0,7893,0.298271873724316,1489,0.465913729759151,0.336627391359432,0.802541121118583,0.115418725452933,0.0567591536804764,0.491767288693743,7.57436708860759,"0","No","No","No","No","No","No",0.168,0.311,0.353,33.8,119,5,2,NA,NA,3,NA
"160","cramedo01",1002727,"OF","0","Integration",2239,9140,1357,2705,396,109,37,842,62,73,572,345,0,41,180,0,99,0,0,5413,173,118,38,0,0,0,0,0,9753,0.295951859956236,2163,0.37527352297593,0.34020301445709,0.71547653743302,0.0353737311596432,0.0586486209371475,1.65797101449275,2.49486377847253,"0","No","No","No","No","No","No",0.079,0.305,0.335,9.9,87,5,NA,NA,NA,NA,NA
"161","fernato01",1004002,"SS","0","Steroids",2158,7911,1057,2276,414,92,94,844,246,138,690,784,48,64,67,61,161,1998,52650,3214,5544,196,1089,0,0,0,0,0,8726,0.28770066995323,1676,0.398938187334092,0.347238138895256,0.746176326229347,0.0898464359385744,0.0790740316296127,0.880102040816326,4.05838739573679,"0","No","No","No","No","No","No",0.111,0.308,0.333,43.5,102,5,4,NA,NA,NA,NA
"162","fostege01",1004250,"LF","0","Free Agency",1977,7023,986,1925,307,47,348,1239,51,31,666,1419,106,52,3,68,196,1789,47797,3809,119,62,28,0,0,0,0,0,7809,0.274099387726043,1223,0.479851915135982,0.338455628121398,0.81830754325738,0.181713407606608,0.0852862082212831,0.469344608879493,1.98684876074861,"0","No","No","No","No","No","No",0.206,0.296,0.36,47.1,126,5,NA,1,NA,1,NA
"163","frymatr01",385,"3B","0","Steroids",1698,6481,895,1776,345,40,223,1022,72,38,602,1369,19,41,15,78,154,1665,43895,1393,3582,179,460,0,0,0,0,0,7202,0.27403178521833,1168,0.442832896158,0.335878922521522,0.778711818679522,0.190086087198001,0.0835878922521522,0.439737034331629,2.92991755005889,"0","No","No","No","No","No","No",0.169,0.313,0.342,30.4,103,5,1,NA,NA,1,NA
